python-yaml 5.4.1.1-2
python2 2.7.18-4
python3-memoizedb 2017.3.30-5
python3-xcgf 2017.3-5
python3-xcpf 2021-1
qt4 4.8.7-34
ranger 1.9.3-3
raptor 2.0.15-16
rasqal 1:0.9.33-4
rav1e 0.4.1-1
re2 1:20210901-1
readline 8.1.001-1
redland 1:1.0.17-8
redshift 1.12-4
rest 0.8.1-3
rhash 1.4.2-1
ripgrep 13.0.0-2
rofi 1.7.0-1
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 1.9.2-1
ruby 3.0.2-1
ruby-irb 1.3.6-1
ruby-reline 0.2.5-1
rubygems 3.2.21-1
run-parts 5.5-1
runelite 1:2.1.3-1
rust-analyzer 20210920-1
rustup 1.24.3-1
samba 4.15.0-1
sane 1.0.32-3
sbc 1.5-2
sdl2 2.0.16-2
seatd 0.6.2-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shaderc 2021.2-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
shell-color-scripts 1.0.r60.88b6e00-1
slang 2.3.2-2
slock 1.4-5
smbclient 4.15.0-1
snappy 1.1.9-2
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-2
spandsp 0.0.6-3
speex 1.2.0-3
speexdsp 1.2.0-2
spicetify-cli 2.5.0-1
spirv-tools 2021.3-1
spotify 1:1.1.68.632-1
spotify-adblock-git 1:1.0.0.r6.gd129a8d-1
sqlite 3.36.0-1
sratom 0.6.8-1
srt 1.4.3-1
starship 0.58.0-1
startup-notification 0.12-7
stow 2.3.1-3
sudo 1.9.8.p2-1
svt-av1 0.8.7-1
svt-hevc 1.5.1-1
sway 1:1.6.1-1
swaybg 1.1-1
sysfsutils 2.1.1-1
systemd 249.4-1
systemd-libs 249.4-1
systemd-sysvcompat 249.4-1
taglib 1.12-1
talloc 2.3.3-1
tar 1.34-1
tdb 1.4.5-1
terminator 2.1.1-2
tevent 1:0.11.0-1
texinfo 6.8-2
thunderbird 91.1.1-1
tmux 3.2_a-1
tracker3 3.2.0-2
tree 1.8.0-2
tree-sitter 0.20.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-ms-fonts 2.0-12
twolame 0.4.0-2
tzdata 2021a-2
uchardet 0.0.7-1
unibilium 2.1.1-1
unzip 6.0-14
uthash 2.3.0-1
util-linux 2.37.2-1
util-linux-libs 2.37.2-1
v4l-utils 1.20.0-1
vdpauinfo 1.4-1
vid.stab 1.1-3
vim 8.2.3441-1
vim-runtime 8.2.3441-1
vmaf 1.5.3-1
vte-common 0.64.2-2
vte3 0.64.2-2
vulkan-icd-loader 1.2.191-1
vulkan-tools 1.2.190-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.23-1
webkit2gtk 2.32.4-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
